state,homeStatus,bedrooms,bathrooms,price,yearBuilt,lotSize,propertyTaxRate,description,propertyTypeDimension
ME,FOR_SALE,6.0,6.0,1500000,2017,164221.0,0.9500000000000001,"This exceptional property, set on approximately 4 acres, features two beautifully designed ranch homes connected by a spacious 5-car garage. Built in 2018, both 36'x68' ranch homes include a 10' covered front porch, offering a warm welcome to all visitors. Key features include: Two residences with 3bdrm, 2 bath, kitchen with granite countertops and solid wood cabinets, a living room, office, laundry/storage room and a utility room. Radiant heat in the cement floors with oil-fired boilers, plus propane wood stoves for backup heat. 4 full RV hookups, a firepit area and beautiful landscaped yard. Low maintenance, vinyl siding, composite trim and Trex decking. Privacy and convenience make it an ideal choice for families or investors.",Multi Family
ME,FOR_SALE,6.0,3.0,740000,2024,22651.0,1.04,"We are pleased to present this newly constructed 3-unit townhouse apartment building at 197 Northern Avenue in Augusta. Featuring spacious 2-bedroom units with high-quality finishes, private entrances, outdoor spaces, and on-site parking, this modern property is ideal for investors or owner-occupants seeking steady income and low maintenance. Built to energy-efficient standards and located near shopping, dining, schools, and transportation, it offers both convenience and long-term value. Live in one unit while the others offset your mortgage, or capitalize on its strong rental demand
for an excellent investment opportunity.",Multi Family
ME,FOR_SALE,5.0,4.0,999000,2017,105850.0,0.97,"Welcome to 51 Delta Drive, a stunning 4001 sq. ft. home situated on 2.43 acres in a Windham. This thoughtfully designed property boasts an array of features perfect for modern living, offering a spacious main home and a versatile in-law apartment.

Main Home
--Open Concept Living: The heart of the home is the large eat-in kitchen featuring an oversized island, perfect for gatherings. The kitchen flows seamlessly into the dining and living spaces, creating an ideal open floor plan.
--First Floor Highlights: Includes a welcoming mudroom and large coat closet, a formal dining room, a private office, and an open foyer leading to the second floor.
--Luxurious Master Suite: The expansive primary bedroom features a spa-like ensuite with a tiled shower with dual heads, soaking tub, private toiler, and a expansive walk-in closet. The master closet connects directly to the second-floor laundry room, which also has hallway access.
--Two spacious secondary bedrooms and a guest bathroom with a tiled tub/shower combo and double vanity complete the second floor.
--A large back deck overlooks the private backyard, perfect for entertaining or relaxing in nature.
--White oak hardwood floors throughout the main house, with tiled mudroom and bathrooms.

Additional Features
--Three-Car Garage: Insulated with extended height ceilings and depth, equipped with central vacuum and a generator plug.
 --790 sq. ft. of finished space in basement with LVP flooring, daylight windows, and a walkout double door. Two additional rooms provide ample storage.
--In-Law Apartment-This 850 sq. ft. 2 bedroom, 1 bath unit has a private entrance from the driveway and a secondary entry to the main house. --Includes a full kitchen, dining room, living room, and laundry hookups. LVP flooring throughout with a tiled bathroom and entry.
See MLS #1609837 for Residential Listing",Multi Family
ME,FOR_SALE,4.0,2.0,379999,2021,31363.0,1.22,"This duplex is truly one of a kind.  Built to the highest standards, with all the upgrades.  Walk into open concept living, cathedral ceilings, a custom kitchen that checks all the boxes.  Walk right outside thru the sliding glass door, to a spacious back yard.   Radiant heat thru out, makes this a warm and energy efficient home. This home is light, bright and spacious thru out.  2 spacious bedrooms each side, heat pumps to cool/heat, generator hook ups, each unit has dedicated laundry and an each  its own attached garage.   This property speaks for itself, come take a look.",Multi Family
ME,FOR_SALE,4.0,2.0,399900,2017,8712.0,1.04,"Welcome to 15 Murray st, a beautifully appointed and meticulously maintained townhouse style duplex in a prime Augusta location - a quiet neighborhood close to amenities and the thriving downtown scene. Newly built in 2017. Spacious open concept layouts in both units. Single level living. Custom kitchens with beautiful cabinetry, stainless appliances (including gas ranges and dishwashers) and breakfast bar. High end laminate flooring in living areas and bath and plush carpets in bedrooms. Ceiling fans in all rooms. Good closet space in both bedrooms. Large bathrooms with custom vanities, luxe tile showers, and washer/dryers. Large recently repaved parking area out front, room for two off street spots per unit. Glass sliders off kitchens to small backyard / patio area. Radiant heat with new Lochinvar gas boilers in both units, economical and efficient gas heat. See 'property updates' sheet in MLS documents for full list of improvements. Professionally landscaped, awesome curb appeal. Both units repainted within past year. Tenants pay all utilities; everything is separately metered. Excellent cash flow and low maintenance appeal make it a perfect building for an investor buyer in a market with tremendous upside. Pro forma available upon request. It also would make a great owner occupant property with Unit A expiring lease and vacating tenants on 12/31/24. Whether expanding your portfolio or looking for a comfortable and easy to manage owner occupant opportunity with a tenant in place to help offset your mortgage this property has it all! Seller is a licensed Maine real estate agent.",Multi Family
ME,FOR_SALE,4.0,2.0,599999,2023,43560.0,1.04,"Augusta ~ Newly built, high-end one level Duplex on 1 Acre lot with private well and septic. The identical units feature 2 bedrooms and a full bath with washer & dryer, an open floor plan, radiant heat as well a heat pump. Beautiful kitchen with custom cabinets and vaulted ceiling, island and plenty of storage space. Each unit also has a separate,  heated 1 car garage with direct access to the living space. With both front and back private porches, there is plenty of space for relaxing or entertaining. Very efficient propane on-demand boiler for heat and hot water. Located close to I-95, the hospital, shopping & restaurants. Enjoy one floor living with the peace of mind of a new build!",Multi Family
ME,FOR_SALE,24.0,24.0,3100000,2022,22215.0,1.04,"A Real Trophy Property!!! Hallowell 6-unit Townhouse located on Water Street in the very popular downtown village!  Nice views of the Kennebec River, exceptional units - loaded with amenities: 3 levels, each unit is identical and has 4 bedrooms, 3.5 baths, 2,610 SF of living area, full length lower level heated garage, beautiful maple kitchen with center island and granite counters,(fully applianced including washers and dryers) 2 master bedrooms - one on each level, large living room with stately while round columns, pretty hardwood flooring, ceramic tile in the baths, very elegant throughout, front decks, huge master bedroom suite with amazing 12 foot high ceilings and balcony,(very special and what a view!)) ample closets, each unit has heat pumps and a natural gas boiler, (very heat efficient) back patio area, good storage in garage/basement, more. Tenants pay all utilities including water and sewer. Units can also be sold separately as condominiums. Property taxes are scheduled to go down in Hallowell in 2025. A true one of a kind property! Broker owned.",Multi Family
ME,FOR_SALE,4.0,2.0,324000,2019,182952.0,1.19,"Welcome to your Maine cabin retreat! This unique property features not one, but two, 2 bedroom, 1  bath charming cabins, ''Bigfoot'' & Sasquatch.'' Each with its own distinct character, charm and view! Situated on 4.2 acres in a serene and picturesque location, these cabins offer an ideal escape from the hustle and bustle of everyday life. Conveniently located just minutes from Lake St. George public access, outdoor enthusiasts will relish in the proximity to recreational activities such as fishing, boating, and hiking. The property boasts a large wood fired sauna too! With a strong rental history, these cabins offer an excellent opportunity for generating income. Whether you're looking for a getaway, a lucrative investment, or both, this property has it all. Also view MLS: 1597330 which abuts this lot and is for sale by the same owner. You could own both properties for a private compound or vacation rental property. The opportunities are endless!",Multi Family
ME,FOR_SALE,6.0,4.0,369999,2021,148104.0,1.04,"A DIAMOND IN THE ROUGH! Originally a 3.4 acre lot with a singlewide that was used as a primary home for decades. Over the past couple years, the seller split the lot into 2 and installed a brand-new doublewide which since has been lightly lived in. Rear side of the lot is wooded with a large barn that is wired for electricity and used as a workshop and storage for large equipment. Possibility to add another home or remove the existing barn for additional room for a garage with an accessory dwelling unit. There is more here than meets the eye. The City may allow a small business like a salon, day care center, farm stand, real estate or insurance office, check with Codes.",Multi Family
ME,FOR_SALE,6.0,4.0,1475000,2019,105850.0,0.97,"Welcome to 3 Nautical Way. This stunning custom designed one level multi two unit home is a breath of fresh air. Located in a private setting yet conveniently located near the turnpike, shopping & all the outdoor recreation Maine can offer. Gorgeous landscaped yard, expansive garages & private back decks with hot tub, wooden slab bar & timber beam swing. Custom designed kitchens with high end cabinetry, quartz counter tops & stainless appliances. Large dining spaces perfect for entertaining family & friends during the Holidays. Detailed cathedral ceilings & hard wood flooring tie in the rustic yet modern feel of these units. Basement offers a work shop, garage space for all your toys, storage & more. This multi unit home is a must see & would make a great multigenerational home. Can also be sold as separate condos: see MLS#1602553 & MLS#1602551. Listed as a single family home as well: MLS#1610156",Multi Family
